image_id,ccr,precision,recall,specififty,f1_score,jaccard,dsc,roc_auc,pr_auc
benign_000010.png,0.997802734375,0.7222222222222222,0.9891304347826086,0.9978517063589492,0.8348623853211009,0.7165354330708661,0.8348623853211009,0.9934910705707789,0.8557068460805404
benign_000056.png,0.9923095703125,0.8892128279883382,0.9242424242424242,0.9951666242686339,0.9063893016344726,0.8288043478260869,0.9063893016344725,0.9597045242555291,0.9082535050216312
benign_000013.png,0.9959716796875,0.9727272727272728,0.8492063492063492,0.9994377108584281,0.9067796610169491,0.8294573643410853,0.9067796610169492,0.9243220300323887,0.912706312919936
benign_000113.png,0.99871826171875,0.9281045751633987,0.9342105263157895,0.9993223262690981,0.9311475409836065,0.8711656441717791,0.9311475409836065,0.9667664262924437,0.9314627265208442
benign_000005.png,0.99945068359375,0.94375,1.0,0.9994455738310848,0.9710610932475884,0.94375,0.9710610932475884,0.9997227869155424,0.971875
benign_000099.png,0.91802978515625,0.06994047619047619,0.06143790849673202,0.9599846340994942,0.06541405706332637,0.03381294964028777,0.06541405706332637,0.5107112712981131,0.08760081343735411
benign_000039.png,0.9964599609375,0.9170403587443946,0.9511627906976744,0.9976808323931302,0.9337899543378995,0.8758029978586723,0.9337899543378996,0.9744218115454024,0.9347424438616596
benign_000108.png,0.99591064453125,0.9218472468916519,0.9575645756457565,0.9972225729074612,0.9393665158371042,0.8856655290102389,0.9393665158371041,0.9773935742766088,0.9404078155655792
benign_000122.png,0.99639892578125,0.9242021276595744,0.9971305595408895,0.9963664180531651,0.9592822636300897,0.9217506631299734,0.9592822636300897,0.9967484887970273,0.960727378756482
benign_000051.png,0.995361328125,0.9479905437352246,0.9917559769167353,0.995649594621317,0.9693795326349719,0.9405785770132916,0.9693795326349718,0.9937027857690263,0.97017843610723
malignant_000138.png,0.98760986328125,0.7736131934032984,0.9084507042253521,0.9904527061203844,0.8356275303643725,0.717663421418637,0.8356275303643724,0.9494517051728681,0.8426188628768253
benign_000008.png,0.99554443359375,0.9802904564315352,0.9459459459459459,0.9987650308742282,0.9628120224146715,0.9282907662082515,0.9628120224146715,0.9723554884100871,0.9647661504074906
benign_000086.png,0.99395751953125,0.9393241167434716,0.9839098954143202,0.9947823789710059,0.9611001964636542,0.9251134644478064,0.9611001964636542,0.989346137192663,0.9622273576413959
benign_000112.png,0.99798583984375,0.8715596330275229,0.8333333333333334,0.9991395205900431,0.852017937219731,0.7421875,0.852017937219731,0.9162364269616884,0.8530263171648031
benign_000072.png,0.9967041015625,0.9423728813559322,0.8825396825396825,0.9989420623560894,0.9114754098360656,0.8373493975903614,0.9114754098360656,0.940740872447886,0.9135854323384324
benign_000128.png,0.9959716796875,0.9654450261780104,0.9654450261780104,0.997861170523041,0.9654450261780104,0.9331983805668016,0.9654450261780104,0.9816530983505257,0.9664521062561354
malignant_000043.png,0.97589111328125,0.9051020408163265,0.9582283039250991,0.9794958477254354,0.9309078187860766,0.8707460732984293,0.9309078187860766,0.9688620758252672,0.9352052114332129
benign_000118.png,0.9981689453125,0.9515418502202643,0.9191489361702128,0.9993188432720292,0.9350649350649352,0.8780487804878049,0.935064935064935,0.959233889721121,0.9359252271796135
malignant_000027.png,0.9864501953125,0.8481203007518797,0.9825783972125436,0.9867419270149645,0.910411622276029,0.8355555555555556,0.910411622276029,0.9846601621137541,0.9159597005447115
benign_000107.png,0.94232177734375,0.041474654377880185,0.03290676416819013,0.9737323988129065,0.03669724770642202,0.018691588785046728,0.03669724770642202,0.5033195814905483,0.05333450810116015
benign_000062.png,0.997802734375,0.9557377049180328,0.9847972972972973,0.998290273556231,0.9700499168053245,0.9418416801292407,0.9700499168053245,0.9915437854267642,0.97054215931079
benign_000034.png,0.974365234375,0.0,0.0,0.9780064939043068,nan,0.0,0.0,0.4890032469521534,0.001861572265625
malignant_000053.png,0.94696044921875,0.2873665480427046,0.8260869565217391,0.9499155880697805,0.42640264026402636,0.2709731543624161,0.4264026402640264,0.8880012722957599,0.5588019475947218
